sigEZlYCCX;eXqXSVHqJ9;mGieSjllCu;YL9MuJVmip;HpPMplBVBw;T8T3LVT2J1
R ; 0t 1wj Uf2B;-35;-40;-84;-8.82
U2h O;UjzPDTof9Z 0  t DdA;-67;77;63;8.51
yX vHyEs  ;kA9 r  PsXX4 BGSv;30;100;-44;-9.14
w91J 0zX B9Lo;p ksc;20;-35;-7;-3.9
o3v  aUFrc;RYvcND  D;80;70;7;-6.25
ysj7U; ;87;31;30;4.19
QR9nN; M  MAkkHDRRUd;9;-97;-37;6.23
AzGAuydC0s ejNTB; qA  8rX  V;29;28;-81;-1.0
8yVn; 8bZ04 p  m3c 0 U02;59;1;1;-4.07
 dACijyHh2 ;y ;1;66;-32;7.51
oCf 5   6itnPmjA;Y;96;-79;32;2.74
BhcUpk6 M S  Z;N  fY5OR6yOUnAs;80;-76;-22;3.91
1 9a;5s0hUA ;-41;9;78;-7.6
q 77x;2;4;-72;-43;-5.0
t bSTYtmBQx e ;  Ba0LLO ;-78;-100;86;5.15
 h m3;aaqsh;-7;39;-65;7.46
sSt d;tz fY4R nZja Po9lg;9;-81;-47;7.54
b CzI l;ho tRTi j9F lGC6;27;57;12;-0.05
QAAOBro  Dt OEDPgrE;1k    6;-82;45;31;-6.5
W vI Jo9xTpByxCt r;i XTOavP4NxKd;-52;-84;77;-4.41
 ;X7xWFctljo;-37;84;71;4.73
8VB1cXi G r  06n35W;3Bic5 ;80;-36;-83;7.76
i;tEF Z bTw6Rea0P5;-87;54;-16;7.83
FN qe8ZhS6 ; C h7 h;35;-34;-54;2.95
O o JclHC;4ZldH;-39;66;31;7.06
sbp ry SG Its ;OJXttX3amD 0;14;29;-83;0.31
s hakyhDs;kQ HTGPiF9 eg62urh;-31;-90;-15;8.63
Xt ;Ob gDZ1oS ;68;19;-60;-1.81
xE2UMr13eTT  4ekF;Yt x2 Sem9 k 4 ;-31;61;4;-1.34
mbhzTdIoAOZp;6Wo9;-77;-27;-9;2.67
0Up BA PZm S;mR2hGpV  Ph;-36;38;-4;0.51
Wa GE;Z YAQ yBXezn;-91;-16;47;-7.72
n P7qPeX Kp  vY;2HWtS1TvJ6Zd7al 1s5 ;-45;-89;92;-4.18
vIxF 2i GC;qUWPysuLtjS4A0;-100;-31;31;0.39
C;D   zb4 7bW;-68;49;59;8.51
Y Za  dmdvYEAB;QS CTD;91;-35;94;-5.32
HuDRCLVI;GDQC SwQn0;-98;-18;-18;-1.29
i 9iW6wT G ysPi DN;RGx od;-24;-14;-7;-6.87
0NNUTphfKH t iR ;Y EOUzYBVM azI;10;-27;69;-7.66
qwhA  VoQ9mJq;J4WbfE0yLb;29;-76;61;3.8
 T  p1X5X KLHr;K5 Bf ZrJdJC;78;49;10;-6.07
 KcW7wz  qPB8R wI;k0  ZFk   ;-42;34;-8;1.83
PLn  OKh4hwAZDe D;woo;76;-85;68;7.39
 aUskUfMKmpTS 2cs;r69G Kt pb4f3 n;-26;55;-63;3.06
9zWq8VN7f  EEOG8Inz;ylhAQCqLazTY0 ;-84;63;-43;-8.84
0lUxrFub; Plc4MD;-86;56;-5;-5.36
sbYS;qrVg b1 6COGqn1ee;-31;54;-17;3.1
Px RV et r zQhTOm;XAw ;-6;-17;-15;-4.37
mRtZ1xdjyQ6l rdu id ;   Kt dc gX5V;47;-37;-20;3.02
Ea 7VqgkNv7;lPJDnC sq  8v6 e8;-85;89;-97;-3.43
YV BBm;6Q j11K deP Xs 5 v;-23;22;-5;6.93
V SgXc;L5   jH;21;99;-28;-3.22
wQWJlGvNI;6RO U4r9;55;56;18;3.9
   p bwmN6 RHBu GH;hF41mm v3ZFET Mh;-25;57;-24;5.93
 NM0IZj7 rxrK;1o  l5F;-80;-82;39;-0.36
i   m 8fHh Ep2a;v1JR XV0nNDM;-75;-59;-100;3.66
WsNt2m ck; G3  ;-87;24;-30;4.46
 VXL 7  DBfK;dam avhc7  T1B L;-30;-49;-66;9.51
D 5 bTj PV v ;PvTr nHw U5Zm;-11;-93;-93;-3.79
XQi9b;xC TE;57;-74;46;5.7
lHOX820Vl  w k n;0OaN4u3We 8c3 OU;83;-79;-59;-8.95
NuEo3B10 qDD2uq;mEoXwYeriJMou D W;-11;-61;58;-6.57
HO6stYpxyYD jyRp Q;a1 E  3 Y  qs;-19;18;77;0.89
rV;T8 pdP;51;-86;-45;-7.75
igq  y ;S7w  0 Od G;-34;-46;25;8.66
OId67mgUOwVrWuy k;llo5 f G;78;68;19;-1.25
4YM;6mw M 2fR ;-6;56;39;0.66
CTNRtl3LrtE 0 N M0;jAyi Y0Wa1 ;-85;-7;-51;3.52
F3VGiWKq  Fwx3;L3VE 3tM fDIT9h;1;-95;58;2.6
sZ qw2 paHG;G;15;-51;-62;3.56
 u; KiZI79UDD 6Jk;28;65;-59;7.46
aad oh; 6;-53;96;19;-0.88
W  JYiX8Sf;Y RwKwlt;16;-13;-90;5.62
fpDAPZ5I YieX4;7 kb NFqM4;52;-94;-45;4.88
 ELOAJm d4hyw w ;V axF;67;-13;79;-8.95
9 lf  BM4 XrrydM w;IjlY tY Vo ;-6;-87;51;1.3
BAIitIAwEb;4K DfPPgQ p;-13;-27;-98;7.63
mIFDb;EMuVgP OE42pHE g;-93;90;73;4.1
8s g;ifm;49;9;-6;2.56
 Tf MrPz3za7wSFU;Iqmi u Gr w;26;68;100;3.46
k zgzu;1e  vt at;15;-96;80;5.9
E ij8L N3 FDkP Q;iUtWy n;50;-92;-95;0.98
mgarW27Vb uInF3;bepC 8gQISVM2J 2;-93;-43;-67;5.69
w m  USEjl q  1VvA;vYGBOjkI6mmX8yWw;23;-4;-98;1.39
H7mS be;sp0tAzSxGi IQ3yfw ;28;-96;44;-2.15
YN ;O lwgF5PC;2;43;43;8.32
0T9VQ22hLTDkT;4ZuEvw;-40;45;-38;-6.23
zp WubU;HE rZsAe;42;44;44;2.57
 X mOwP5Nyn 1hJZ 0 ; C moM YxE g oZ;-34;43;100;4.99
TI7P 1KUA4UgSXrHD t;xNrk6;26;100;-61;-6.66
vLxTwdiFd w y ;p6rjGG;-9;-33;2;-8.29
 UB Km6gK;hH;47;-51;34;-9.59
G xoC2g7Q7; ;-58;-30;-44;-9.36
OarY9  p  c2wEiJKZ;j fN8uC;81;73;49;4.78
DCR 7Mm 0YyG;vYPT OOfUAC wq4 Z0;34;-66;-81;2.89
 Tt ;M2v I8 d;-61;-71;62;-9.6
p;7u u   Uum g6KXYAj b;39;-76;19;-0.1
aP;j1;-73;-98;72;3.9
e psTu 7VF;G;-93;26;28;5.79
w22cA6H  wuUHd Y 8;fFWDh OBRnwAoVV;50;89;15;-1.42
m7T; 9ZaTA1P75Qitn;-78;39;63;3.76
 8KW6ofFl EDFOIx n;uexZQ;-42;47;-16;-0.75
R;bk;16;55;-35;5.5
XfTH W;JA b n  20XJ LU;-68;99;94;-7.02
ikA xOi7 e NsC8 ; P2NR B ;13;36;95;-7.68
A UKBo zAiTeO X;R9i5eJsvO;-83;-53;-89;-6.61
fX 1 SO HvLT7 LDu;M5mz  r9 zq;22;38;46;-8.5
XgJ0A k7BmEZ ;B5jiTW;42;-26;86;-6.13
9EwGQp kJz  fL 0 Z;T3zw SPmV8u 8;-8;-98;22;-3.13
MM5F I2u9 3MGD yBZA; Zg1DCon;95;-30;96;9.93
  TQnzRQY Qs Gh6aCpM;m  BnIoXRv;18;68;96;-9.78
 o LA I2Js;S0CA1I;-36;-83;99;6.96
2y9;Peeha0;-89;-78;81;-6.75
XK4j 14 m3zMfh;6E A  2I 9An;-39;-84;6;-9.23
t3sg7GIQ F 0  c57z m;Z;95;-84;-89;-8.67
 ;6ce 4AJpadsXVc7d;49;17;38;-1.82
3IfF4  stoM ej07T ;0TwS uz pn Y;-22;-88;77;2.29
W4hC  2wq Pm 4O G; HvDg8pak0;-24;33;-30;1.1
 Ol  ;Be2 js YZYd;18;30;62;0.64
  ;h HgBgBm3 D3 u;-28;-58;-71;4.64
qnPa  YyAY;qPTxgRyIUbJaPL  6C;-74;-46;30;1.06
3 fP tP  Yw0 ;gS2SZ7n3j6f E 8x k;75;79;-68;-7.75
nh68GrAO ;pe0MRW;-28;-10;55;-9.3
Ji8GW2rC   ;ArIBv Kd 1zHCg9X UBJ;45;-58;-10;2.5
KSMXO0Nx33v HHWD;nc WA U9;0;-57;94;7.55
7GAu   tl ;v  pP;20;19;15;6.1
qAun0PtgUV3qM2 ;aP0HsG ;-76;8;44;-0.26
LK ecHjvE;Nj 4Ta ;-47;77;-34;-0.69
8heR BLJ  abY1Uiy12 ;F cs pdQGV1V3 fzP;45;78;12;-2.54
zOb 9A;3VRt g 5 l ;-59;-22;-6;-2.52
10Grm1 6n;G yp 17 D ufnP1vdJ9;38;49;-1;-4.36
RTT;  rK3q  xIib;29;-9;-47;6.64
g Uu0UlV3  WymLV;y8  V 0 0Y18ozCvc;-6;-82;74;3.67
CbkXfOHE dile HJ;NiU lzVCQHc;-27;13;27;3.05
l ytne;KHjk 6EhQ MhUps;68;-31;82;7.07
y xzZRP  ;dMm2G;90;91;-42;-8.71
ps6O1B3; pS1Yv;28;-27;-25;-6.45
n7H IfJ2ibU w4 ;7Y3z6b yAq iE;-5;12;-98;2.39
c ctQ8s; EjTe il  8Dd;15;-55;86;-7.52
eZ N NYu; vK TohZW3  ;52;-10;-70;-7.45
fc AINE;  ;-15;-72;-5;3.74
 ob;UZujD8W Hl p1JbxpKni;29;-75;21;4.97
Ua UjLg PbDue3x g;6M ;65;84;-1;-1.39
CY7w xZ Pb  4c;LhyV ToQz 0wuInH;-42;88;-60;9.22
iymF;zI a7;84;-31;86;2.94
a ;TWIs  qtN 0Mskz ;-86;93;-32;8.31
tx3 6j9;g ;-44;-29;75;-7.39
 1OnRYl PEaO B570  ;I5Q  rb cLg ;17;-21;56;-9.32
e Z   k ;ZOKmdYp  dz jZ7Zzj;47;-90;-11;-5.06
 ;JZIgx5gk s nj MK;-2;-36;98;1.55
1VfAvOdjIN7 8g; AlqFd oc Ef ;-60;49;68;8.8
Hr6   CcMvMR 3  hBCU;8  dhQ2fHU;-9;25;-31;-6.45
X232tXsRNI b P03r ;Ye;18;-64;-59;-6.86
uGljvEvWhF72jP Y G;2HJSwCA;-100;-31;51;8.38
uxy 2MU7 lR 5G;s Qbdta9Kwv 6CB J;-27;-80;-7;-1.95
Dr9pqNC2 NE;X6Qo4uD1k8 6;56;-15;43;9.09
NDA UW5U6;D f CN6  32Cdjg J;-46;-64;-50;-5.92
4 7RkTVM ae;M25a1c2K010kz 4r;-74;-62;100;1.62
NIJ 1  Raikf;UW ALpi;-81;-47;-79;-2.79
i 4BJYv Xxzl0Lg;aIw1 gqwCBA3CKWe;-71;-68;-48;-7.85
BT  hCXwojyvJE G ;1;-100;91;-99;4.16
I  HJ;DhG;75;72;55;-9.53
F 0A c WQe;tu sp2n sVCAx;93;-57;95;-0.83
E;S 2Z Qp27kgy  ;-97;36;-43;8.47
Xf xiH ;r5cyB6c1V cgC;29;18;-14;0.98
  kSX6R6LYdEBN n4D4; 0 lkU1jid5tzwdwQ;-63;-58;-52;-3.36
Wxn PrSzO JY;kRkSCR;11;2;-80;-8.43
9iAId;iltasWa BLRS  lM6py;-100;-98;-72;2.81
XZg;nObVyC2c st4D2SB74 ;-5;-51;47;7.43
MW 1Q;ffl 1wVMG ;-51;60;97;-8.61
eJhTLOf6Ap;Xw;29;57;25;-5.91
Gs;ZhN;-13;12;63;-4.59
rT8;YfRgE ;-91;55;28;-2.16
9c xng8dkFPR; oiChB 9hHWi xfhboD;-74;-100;-30;1.3
ZkD8LOpii N; dju;88;-19;24;8.28
t;fZ U;-18;-34;-29;4.81
j; cV4jo 7 t 0esJ kEyf;30;-35;88;6.72
F; E 1PM;-90;80;15;-6.11
6IDIEO R;dA4rC;-71;28;71;2.63
V 8 gGfjS  oVq ; z4n9Xh L dd1Y;82;-36;39;6.54
zEBi hRdFVVp yFH;2C8 D;56;-25;92;3.05
 1f7wDhHzdNdd4MH;Y YZVFUl VfrJ4U4eDX;64;-73;-50;1.47
H5l y 7 NXdG5W cQUn;IJyVYd;-69;5;-31;-5.33
s ;WG Sgef7 6;12;24;-66;8.66
 Uh5oRS o  zMii7;8ahO gN  iY0F1dZEF;-86;62;-15;4.11
YI Yp;Fv6VfjghkZF;92;87;-41;-5.47
 ;v;-93;58;100;-2.53
Z f  t gR NBJ;LdpWAxjCYuiflMBJ ;84;79;-26;9.88
e44KAbB;3 xsUy WBLkB  HTJeXE;70;80;57;-5.82
 4fi5;2Ap   zG0;-68;3;50;-3.88
h   x9V;zItg lBVp1 JmvM7;72;-98;-94;9.12
m2JSr0t n;D;4;-61;15;-8.29
Os OHq V sYvLCs KYG;   prBm;-8;-9;-28;1.07
M1Kgr5Q SETdk4 9; yF;-46;83;-19;-1.98
zqY 5G;  OlNVbeL8;-1;-66;-17;3.86
Tjq WCcNJctD bgSfl8m;pX0jUwM HLKzRG y;-70;-87;88;-9.88
DZwby3OtOzoFM2 fM1LJ;Ri6xYyggFZtTI;17;-18;82;-1.23
JG K1aAxC0OX;Snhnf3xhr ;-100;-4;19;-8.03
uq;Z 1Or39b bN OsiU P;21;17;23;6.2
 E;R k ;27;-91;-61;-1.31
u9y46d 2faRjLCx; ZU L as4Es tRn xZ;96;-94;15;1.96
If Etrd7 DGmMdfLo43;356T81 jvoOI;83;-93;-67;-3.85
F9 3 H M9tGbGDS;0cHNwPufx4A3hRZfl Pr;-99;27;86;4.33
 Ldt 1eL  T ADYmJM;NOAhSMv O24 GqeYW ;-45;-87;-9;3.15
BmNldJdJq1zKg  ;ZLZO  TtRg6gw 7;61;-23;84;-3.78
3 s8r21 ; k;61;-71;81;2.39
YCiO6MpT;pXuxB;-27;19;46;7.86
w 1Fz 0T sKE K;AjdVFF  obgF8lN9;37;31;30;0.79
ECUKWTiDJe  IXoV BU; ;68;-32;-6;3.78
q1w BVl ;Hvx 1  lmid   Mky;19;-32;-44;-2.55
gOZLs9i 5mBh h cZ  ;b5de Rr;-89;-74;48;-4.29
S  MRFq R uBQmUIc;WrH7w C ;-14;-45;-41;2.18
hJ5eElKyS 8or;6h t ytKzh8L 1;82;65;-78;3.71
1xLUY4ZaYb;m4N77GwV ;7;37;-20;9.74
kMg1;WDS i46ToB Y 45 ;-94;92;90;-7.45
oD73VLu ;KSeEQB kU;-55;28;-1;-4.36
RDE5bPZRCg; w;35;-63;-100;3.04
px5;UeaA3 LNWAea4XodD dj;-71;43;-30;-7.25
sju;Gz1tRx jXuNWDl12wn;-99;26;-67;5.06
h Uhpw Dhs;Z LiB;87;16;51;6.02
kmZ 73DoI;dhw;38;98;48;-4.02
Rn    d VF;V zD ;-36;12;78;-6.97
  OnT IWv  ;v1BiArCU rXg L 8 fV;-74;-63;-38;2.91
 97tXv YdY;nq 4bD;-53;1;-2;-1.4
2lc2;VgysyIY N3  ;-22;-58;-59;8.79
7TIE n PZ 8NoxMT;JdeHUpYD f  K ;-100;1;-30;5.37
r   T d eruDwDQ1;fS;5;9;88;8.19
 G0V;7ZE;89;-6;-8;5.27
1EzA8lqyIq2 ;IjX jTuFdT3pJs fL ;32;-94;-80;-7.77
yrvvDS h  K0 ipT ec;e JsHOWju  9AH ;22;76;20;-5.3
q9 3H16K T;ZE   G4dQC Q w;34;-39;-23;7.34
5 nbH v eI2lys;5RWrOR2M 3qI;-65;-70;-75;-5.56
il   9y6h8JnuQqk;zo3QdtAkjmR;-49;-63;74;-3.6
k P 6SiHVNCQ sR;S7F OcGljcNkDZML;-60;69;46;6.22
u;lbbz0uO8Vk bzP2 oEF ;-49;73;55;-7.74
 gvgTtY ;V;-38;19;-2;5.0
DE4oqri9fH;V B8lzxw5SE6Ei  ;-7;-2;74;0.56
TxjJY4Y3 pDLCZ 1;L;-86;55;-97;-4.07
 CBv  ;U fRcz 91Y;62;40;40;-6.47
vaoKqpneX pg  bXLX4d; 0TA CZh T T8Df;66;-64;-59;-0.28
 qiXC m1duC;  M 4Je U;-74;-37;-66;-6.98
VE  ahf63p;r   9t Ps6 o;-16;-36;11;-4.57
  eY9m lyj G kg;yvB5aG;-84;44;43;7.28
 Jw n gP;ykbf;14;-1;72;-2.68
GI;Z7 0iu ZA00TAKaN;-19;-37;74;-1.91
CH;zaQBVn wX;61;-91;97;-8.38
F QB0PJ9TE F3mN; OD0  UM;27;-75;53;9.91
QMHZ;c8  3UK84EeOpgl;74;55;87;4.38
A T HY9bX  eMsU6R ; NV qjB7AiGcX    j;68;-80;60;-5.12
P;S 5gU;31;58;10;1.97
R SSOWFR;sM vt 7CqCeCpek;-65;-32;15;-7.81
ag FzfPDIlr1y 4; sj7KF M9YSSzB;-99;0;75;2.7
x0irZGy6lVhk5g JR6xq; 3eM4fKEP0Q;84;89;62;-8.71
Acge;ixMPwP  nKW8k04G93;-71;48;0;9.67
kel;iV u 3lof;-21;-41;-93;-9.02
K6T6xtY38 ;TE sh3lXl 7bwD pWgf;-63;-53;-12;4.68
NmQN 75 TJ lbT G;LGEp5 Ze1MDaZN;42;94;18;-2.93
SbBQ505j;gs aD 0;66;69;-11;5.1
m Uql E2RW7Pl5;o  S6x;90;-9;-19;-0.16
eysvMum  CS ; Ad4 hiRQnV5nx;58;56;25;8.04
u AbKbiSPc4yW;  2D  4C ;-79;-25;73;-1.5
D Q6p  Avp A m D7qOZ;Cc;56;-23;-21;-0.71
r H3e4 tgbt ;Eg;23;30;-79;-4.69
Tu9nO8U FdgM;  EQQfivX WdcS q;55;-64;18;6.85
jZaL i2z F9hS v Br7;U;92;-37;-84;-5.86
KjqpFSu Vj xTOQgg;Kf0W;71;91;75;6.24
t9;O;4;32;-33;-6.84
bYg0on9 NYO dvS3KR; x I As38  3e d;16;38;4;7.14
3f N63pJq 9QPW ;d m;4;83;-53;4.08
4UfQWvmzXyaFkyT IJD;b;27;-78;28;-3.24
fKJb ;ms;56;-73;-75;6.82
E qoqC0wK;XMK6J;73;-71;-61;3.42
W;XGba6 OTH;68;53;-34;-0.08
WYUmJgsBLu7P ;dlcDFxpQoitF NE h ;-18;51;-62;1.73
c3ZF vU;OH F  Z;54;-43;65;-5.24
VBs4dxDNHVWnq IvxP;A XLt f OLRxj59;94;83;32;7.1
0HFZ ;oD2Zg;-73;-86;-4;4.29
m;Xz2w99 ;-14;-41;81;-4.51
ciQAa 5Wzfn Y;Zvse6g bQHQgtpvm;-66;-23;-14;2.0
3hlbPlAr j 7kDljnV  ;C 2A 7;-76;35;62;-2.93
E  aK74 rcRGE02ec ;   Q ttNW;43;38;-8;-2.11
p1;  fbLW5m hX;76;3;-53;5.25
GylGZf;G o8aJ KfvC ufx 5;-1;-31;96;-6.89
x    qKAsW  D; 8 B frU;43;48;57;-9.14
zY5tZ IDvNW Bf Tq q;XWHy8j  ;62;-79;-47;4.85
Q2 QzbYCd;w7nn8ro   Ct 3;-41;48;-26;-6.77
 t4RKq;ETFQGaw lr Ko37 K26;-97;-99;39;0.25
F Qq 3iHN jeh28zdVo ;63j1cJB j  ;-84;92;-27;3.83
lN4Doc8GaahNx;h VBpE5t  eF5wl;-52;-35;-62;7.97
 jZ N r Gq;NjjO YSf;-11;-79;68;7.62
2O aAJ ZD 7;X E fh4 N;-46;88;-15;2.48
hXkKEzQ FSHAzx2;jJ9ci NwO m1i v;-17;44;-37;4.91
F6GpG;qg;-72;70;-43;-4.36
ZiAf m;u;54;64;25;0.79
 n vPy; X P7rV1XuS2u  zCwbG;64;-24;-35;5.34
sgb7 yb3; k;-51;-69;1;2.46
  jqYQEcRXr82CEbv ;  V9E2 Qx1A   ;82;-14;-69;7.62
 O p0zKK3S gV;K K  aktnq;-29;55;-12;-9.24
T1N loER 5BcYX 7JSPP;TzPEk dAU i g;-51;64;19;-7.73
Xyh XPSTiP;3MU    sTUprqe K ;6;-36;99;8.89
 Pf1  aiQwvdlsK3S KC;EDx 8gUI;-52;-5;-6;-3.71
p ivH;1o7 SUqDcBKHo;91;27;-5;4.51
3;Cx51r  vJNnaQX09;94;-16;-88;-3.25
m7xc0Bp4jSz fon ;3Crom;-30;90;55;1.58
9OU q  wj 92 sBNJ4C;X 3UbWicVz;76;89;-25;-0.57
 uZeG  p pJ1X; JgXHS ;6;64;-59;1.4
XjyvJ ruwBLl;R3;31;-71;-10;6.05
 Gg6 P2Mp  u89;cb8A 6;18;32;-36;1.17
VTi2fz1 H766SoL ;1jzNJug957  L4N;67;-83;-50;9.45
RyQ0B  KJ1o q l9;sn  sNQeU4 yn0;-97;-31;79;-1.95
S IP; 0KeG9;11;-77;20;8.34
WhzW 5ns;IrgK1vI ;63;-91;65;7.78
qvEv5;kLC;-8;-66;-22;-1.67
T;JFkGzKV;90;-30;20;1.02
Y P B2 ZnRL165;WBJfEK6b W KwrU5YV;31;-24;42;0.79
q Plib mjyu tMe;e eAghZ S1KuYp M16Zs;32;-69;-99;0.37
DjPjChpGrCyVY ; qK  E c7 Jz;-80;-11;20;4.94
 pJrZxI 3 6  ;uN9 j9C3c Fsj Zxi0Cv;62;-72;49;8.12
 9 9 yGB ylzLp0 7dx;FpCx0uXaLiWNx7;-53;-53;43;2.38
7  ;yL0r3 ;-84;-76;-37;-6.0
l;9ZeH 939 f;-8;36;52;3.47
h Xv ;pLnh1J9K 9cah 90 ;-93;11;-46;8.42
mc8dLT7iptTDxj1;t 2M13V777RE265 ;-88;-93;-59;-0.66
OgwfZgJ T f G wsX RY;d YF 8 H5 OlX;54;-24;-77;-3.16
 gB NdMve ANV  Y;Q BnU P0  4 F 7 ndz7;70;-25;-55;-9.18
 s i4 lqxqYbM;f r tk;22;18;-41;-4.42
n qqd;n g  dI;36;-74;-92;-1.08
rdrvBqCZh Sr5DJy;7 fZuCRg4rSj;-48;-63;86;-5.24
BJ8  ;m9 R8MpjM   xl Rp;-45;92;24;-3.24
6Y VpABALAJ;i2DdVNof  X 1h;-57;-57;-67;2.63
OXJl723C;f   E  T;39;-75;-37;3.17
Nt; u6 OU ;56;-95;74;7.41
5 X;RxQ993 3T  ;94;-38;-81;1.81
Ko3 7;2CK EZ  L ny  L7 ;85;-67;-90;-7.48
2sPDp sZm1rZN zDe ;2x  vG hKES9nu5J5s5Z;99;-85;33;5.86
vzwRt1k4wj jRvq a1;sU ce;-22;27;-18;-0.34
wLMjPY ;DFY;83;7;86;-0.07
1;QNCu Of8UPtgHNf;-61;11;-9;-2.17
K  hkyxbPmFf  Bj0; VDpQwenXug;97;12;-91;-0.94
nX770vtjYs  rt;OGm30 35dY plQ;78;60;-85;1.49
  H wQgODu Um  YXc;YH;70;-87;13;-6.73
  mj  X1O;t ZTGqIFgs;21;-99;-89;-0.8
 Te Yo  QH IZW iNoOe;7 N bq 6nlFN i s0Y;-66;-25;-6;-0.05
lU7On9F 7Nr b ;V5s f5;96;22;31;2.52
IvSD15kS1x; gm5 j9bbxQtP 90Ul5;-55;-12;-97;9.43
 6AUvf X 2dbrY6q6; 7R31AQWLnB b;-57;-29;88;2.44
LNPzi2f ugZw;j775Du ZGu;41;-93;-96;9.92
sqK70n u9ai DzP;zz 4KI5R f8k 4;8;-66;27;-3.38
 m kv;LGc yQv5 1w 0;66;-7;-36;6.49
em1k02ot 8S EHOf OF;y4   kNFUtf5;-57;-94;-40;-2.02
kT hqWgaWEchk;Y2f ev Qq ;-68;60;-38;-9.03
oM;fu9v 9Y   zH ;14;78;-95;-8.48
PDmP9rZXldt ;w ;82;59;-90;-0.15
 ;Rn AouL 5;93;11;89;-7.56
X rc gHa  P24I;hv9mivFt ;94;-99;20;8.06
c dpd  HJL O RMy8; 1TqwpccS;72;64;85;-8.21
 YEeb L7H  x0;kycaiY0X9VQ25e;63;-5;-84;4.93
mQ lF  hNq MzRN; dy  qkbqf89CM VA2;-74;76;8;0.45
Gxdy8yhtJD9hRU;Yz 6lP lXG 0;-38;-43;84;4.35
bq 3d e ak;zdNf5fRicOJ70lS;18;60;45;-0.93
 xRti1Uv Znh00 ;OX  mzTZ;-10;45;37;3.58
 vVWtYabNXL U;ZY DcFVmzq5;-51;-84;88;5.09
JqY rATvoN Qy k;CXQqvKtdm;-80;-40;17;-6.57
 Av3A  oGQ ra2Yw5Jj; f;-100;-87;-46;-5.74
CVvLwh; 9;94;-90;22;5.37
c501h6 V DwQeE;jwjfm9M0 6c N0MxF;-52;87;74;0.93
aetQIVH3; NS0wZfLX4T;5;21;-69;-8.12
DD9juAN; I KsKdj M;-98;23;-2;3.4
U VR ; A0miX b oHMT 6rp0QQ;33;-78;41;-9.38
 e 5TVVYDq Rd6q; pisSbc5UTYuA;75;-96;-91;5.82
 dqZh ;M  3 ;-43;43;18;0.72
Zta taTcN km;wnvd4nWU;34;69;-58;8.76
JyhuOEJGn g   4oA;     9Dn;7;-70;-69;5.91
jvw9AvCUjEf ;4SefR v;20;-19;25;-7.81
chuC8; SK;-5;-88;-71;-8.36
wJQ7Uf4Xt9 Rjk;oCzHbtM Vw;93;-8;27;-8.76
 t5p;y b8 St8qk;-88;72;13;5.13
hRZ  A;y8v8a;42;26;88;3.55
C; 8QiCOX A;-60;43;84;8.07
 znfn TSNA6;x5TBeP ;-66;54;-50;-1.16
 E IOdf1 Cy;VA1LHlXt4;-33;-90;40;0.0
8 fdQGiN 4bdj9aQCrf;VK;2;3;-41;-7.48
NObBEH; d7VBkbU ;-21;49;-13;-0.9
Z7nW E1Z ;uQp5 fX l;34;-3;-39;-8.71
Y Pgy4 I0;Zb ;-94;26;18;4.1
ZdHIl;P8PyJ   lYEl Uz3pNST;61;82;-37;6.98
CB E 2bj D  J;Vysw1;-30;-2;25;-1.36
uCtdRBJE;53Bg1  ;-18;66;-12;1.87
i   0VG OU;6Xzxp77Hl;-19;-99;4;-9.9
T8K b;NFRMs1M eSP3I5Z;6;-60;-43;9.26
Zg9CYQ;IwXMgJ8zN4 I01 VYwNv;-92;64;14;8.69
f1p SAt9SrVIu; gzvYP3o3iFXi 3SS1 ;53;1;29;-6.25
EU5 fXO1 ;xAY PqQ a db  I;28;-16;-75;6.61
 zKrB  lapZ 4q  q;y ;89;-25;61;5.39
sL2s  JP v0OEKwo0XUL;cYj;-21;84;95;-4.1
S;p MdC fCi;29;-35;9;-6.53
A 9OlV0C fVKOF;RDPiD ohY epSVMK;-12;-74;9;2.77
jPU4 nhXSQ U2HkW;9FC40SQs R47N TMu 7;-38;83;89;-8.35
bgdnvhw o;B5 X ;-33;50;-26;5.49
5b5 W6; WqLcyjNVFwmgs2V;-44;-92;-75;-5.37
kSX;vbzs h  rE ZXVd013;96;54;-90;3.3
kwX31Pe X j0Vd5;7 GB  Y2nGT DocBp;-39;-15;15;-5.43
 ;   iH8ee6Ms;-90;-20;-43;-9.62
q;7tL1B5nHVL RC ;58;-97;-52;-9.56
 YT ;gbze hkER Wwcjt 8;-44;0;-82;-2.35
w  BOWJ;2nw;-65;74;30;-2.58
c1t;Lyzz4OPReQ e ;73;36;92;-0.21
oB N2f6 2Y  etmOVB; S7Dr2oAuXSA  h  LHb;-99;9;-10;-2.53
9PYy9h;m  KuP8N   ;40;12;-14;-4.44
4lZv ; LKdrVLzcP;-50;-1;-89;-1.71
4fbszZ NUG7r7Z;jaM;35;12;-36;9.13
M9  X 7dF5Z   o;u TV g  2aTCuNtxPfos;69;-61;-83;-0.87
R G; 7ibiD57g0UH;95;-13;-91;2.07
tWJUlKKQWHFdST;pcqdEK h;-85;23;-25;5.81
Co N;c PYw d w JB;-57;33;42;-2.45
5 r9a;V    d S2fHq0VT5;100;-79;45;-1.57
v4KgJl    dBoeO  dw;QuYNncoDPR p;18;-89;31;9.61
5diTx fCE5Ax Sm8Sj;kI1BjCBy5 O;5;-58;85;-0.49
 skj  vG ZZEas;T LE22k  I h9;98;65;69;5.39
